"","x.1","x.2","y"
"104",5.45868133828664,2.66287719671271,1
"105",3.91027226273604,3.35874449035311,1
"106",4.45286001658812,4.27828132058747,1
"107",2.63313528694024,4.8857255710801,1
"108",5.09430466374018,5.16755392912739,1
"109",2.85013531954021,5.09506127002165,1
"110",3.17249597991146,4.52050961697503,1
"111",4.76382203747665,4.35166657115709,1
"112",1.98544174970794,3.19986137788677,1
"113",2.90106319227837,5.98953122508931,1
"114",3.54878871278752,3.81827582404227,1
"115",4.85045371712298,5.52266245496304,1
"116",4.94539756677944,4.62510583244463,1
"117",4.7242983462298,3.63072258955518,1
"120",3.66963976486079,4.02835884074236,1
"121",2.83776112730411,4.84024551169245,1
"122",3.92662779521858,2.58749631792929,1
"123",3.03700110603343,4.48663193388184,1
"125",4.64776124356602,4.2909790082122,1
"126",3.45072181911671,3.16070852992248,1
"127",4.68530328015499,4.60389547956687,1
"128",3.46354005134465,3.66786265972774,1
"129",3.1283758877517,2.77597638548882,1
"130",5.0007833536377,4.02719095206781,1
"131",4.40193583029797,5.37251639036018,1
"132",5.03488571294568,4.02047408182806,1
"133",3.9084618642269,4.11981284964948,1
"134",4.29816156518173,4.86985317762953,1
"135",2.81097140069245,4.84193539520407,1
"136",5.28558661371095,3.39290216311939,1
"137",5.02985018018854,2.90177367362345,1
"138",3.98944114387946,4.09212909727623,1
"139",5.91180494174409,5.54067582985664,1
"141",4.29151021309074,3.1896945523705,1
"142",3.51130657814985,2.24021245614455,1
"143",2.18297661686077,5.28226055544323,1
"144",3.31074098383146,3.44902116019118,1
"145",2.04991272030014,2.88723238617071,1
"147",3.2195282710094,3.58129322120858,1
"148",4.51660682322367,2.58250627271879,1
"149",4.46267991795909,4.99598965788092,1
"150",3.90260407956078,2.69990451126849,1
"151",4.00204526037107,3.7087567439525,1
"152",3.68892842183691,4.41104330335758,1
"153",2.87104148720847,3.88610795877585,1
"154",3.65841755746629,4.25545854332549,1
"155",3.75089005856724,3.71603322136583,1
"156",3.57950007562694,3.47616809495243,1
"157",4.80621511782217,4.36269390544396,1
"158",3.60375747702391,5.17960056479355,1
"159",2.6327818395941,3.74325038277201,1
"160",2.82061930273903,3.61753273309286,1
"161",3.85919598618283,4.84325730785595,1
"162",2.20309636547246,4.60674670665971,1
"163",2.13323208214052,4.94273425407882,1
"165",4.50208664181188,2.87993815461124,1
"167",5.10066907358348,3.94005951206674,1
"168",3.31365062350939,4.14634928665651,1
"169",5.48746417622476,4.92602202739628,1
"170",3.55738021292584,2.44592857690797,1
"171",5.52122259504578,6.12645306883564,1
"172",5.8225370000949,2.59952008488976,1
"173",4.82389408706324,4.72316314459902,1
"174",3.01430657907743,2.86507956330064,1
"175",6.98041708019727,5.56949198876417,1
"176",3.05337019692441,3.85544075727807,1
"177",4.77465459621564,3.56107458401168,1
"178",3.62710723537295,3.40493918994692,1
"179",3.49877569491234,3.93605231668573,1
"180",1.78796778125574,6.59702976446049,1
"181",2.26326773321115,4.99147681131819,1
"182",4.66013064940369,3.68793137581679,1
"183",5.49964227977119,4.36092136715309,1
"184",2.95506165504978,4.11318606690369,1
"185",4.44263024386532,4.47975501225746,1
"186",6.09629501499153,2.99895981553028,1
"187",3.78151137122805,3.51257042474216,1
"188",4.78716410942937,2.65276832439514,1
"189",4.28220829012143,3.91560155291897,1
"190",3.30606424858117,2.54057628763013,1
"191",1.61076353473802,4.41173811923784,1
"192",3.97728216602892,4.04009005686759,1
"193",4.92938791260403,4.51512733997048,1
"194",3.93975150433143,3.19434892056265,1
"195",3.85248525774546,3.28125261585318,1
"196",4.44445935605293,3.94708960560078,1
"197",4.90692155461679,1.67385062705104,1
"198",2.98683967825431,2.4842196967082,1
"199",3.79667588635615,3.52768313891427,1
"201",1.68590615060714,3.78642445136645,-1
"202",0.426638201589423,3.11955232958714,-1
"203",-0.0998014772688488,3.74228761661832,-1
"204",-0.848582666368949,2.3042489937045,-1
"205",-0.310215819984791,3.44978719134763,-1
"206",0.220492696702597,3.11590214800607,-1
"207",0.680879974276864,3.28165064475394,-1
"209",-0.138172354699364,1.64667428404878,-1
"210",0.961230976724284,4.30141282665784,-1
"211",-0.0403666547082887,4.83425217484483,-1
"212",0.502319958961561,4.20380571153367,-1
"213",1.34237683749829,4.70467216011175,-1
"215",-0.564929287984201,3.03452625502307,-1
"216",-0.446311549378045,3.22594954148833,-1
"217",-0.95482263806271,1.367562724172,-1
"218",-0.741374331459338,2.86259625578132,-1
"219",-1.13453288001414,5.60482282602712,-1
"220",-1.023507340063,4.34763478498185,-1
"221",0.846334584215004,4.26818504866063,-1
"222",-1.1899713015368,3.74384283172449,-1
"224",-1.03834928640205,4.44215901709818,-1
"226",-0.0736337377308612,4.06865552051901,-1
"227",1.59004315072882,5.03530225954597,-1
"228",0.705224333447578,3.35270068243538,-1
"229",0.499251099370034,3.05195691656214,-1
"230",-0.466178161703807,2.94985147488008,-1
"231",-0.193747185070249,4.71381008816081,-1
"233",0.742767103222224,5.10409625289748,-1
"234",0.368071098254,3.62709474642026,-1
"235",0.327219327749216,3.60560054082066,-1
"236",-0.755608403594543,4.2872449976972,-1
"237",-0.61679482244132,5.35964985159234,-1
"238",-1.03515342863563,3.84900710383125,-1
"240",0.983646252056688,4.19252672556325,-1
"241",-1.36111635422952,4.29267459681201,-1
"242",-0.744509704328999,4.35018997550832,-1
"244",0.161904449416756,4.46629165651126,-1
"245",-1.25210255888241,4.46263896936051,-1
"246",-0.0615475783397336,4.39284086381954,-1
"247",-0.417782498362836,4.05820556935337,-1
"249",-0.00900293406124545,2.77839137138246,-1
"250",0.691663102447261,5.22946729076053,-1
"251",1.75015801538979,3.04113804961531,-1
"252",-0.230766363726844,3.21438571258566,-1
"254",-0.29374362988754,3.77371099479208,-1
"255",0.465262529257933,3.79990482909986,-1
"256",-0.526325713217257,2.84187866649073,-1
"257",-2.13447436116911,4.627112742335,-1
"259",0.612883352128581,2.4674526436817,-1
"260",-1.25079782359497,3.30318659188118,-1
"261",-0.0328203822409134,2.91157104421111,-1
"262",-1.63915426173796,4.34446525734151,-1
"263",0.0556881465365616,5.56274394939398,-1
"264",0.790682603446377,3.07656946027494,-1
"265",-0.958398514075303,3.2935097042618,-1
"266",-0.709361594149684,3.42570558251687,-1
"268",0.37557758687472,2.83675794452669,-1
"272",0.82361612522315,3.03420558542908,-1
"273",-0.783585959494848,5.27440888422612,-1
"274",-0.511305459952973,4.69593346713422,-1
"275",0.715117642064722,5.10337124207322,-1
"276",0.403803856602108,4.97228690692984,-1
"277",2.14133494853386,3.30957076750327,-1
"278",0.705203303335578,2.7033921062473,-1
"279",-0.569384835662255,2.26888099506932,-1
"280",-0.27728642136392,2.43116310362121,-1
"281",-1.03258679663974,2.7357361497265,-1
"283",0.439411289177813,3.1328597686289,-1
"284",0.271805518788704,4.6460071090558,-1
"285",-0.312647572117704,3.99395826354262,-1
"286",1.85550814371405,5.47708121569411,-1
"287",-1.44695364958689,4.14968945442582,-1
"288",-0.93596163239424,6.88408832158593,-1
"289",0.818290354282496,4.3988831419786,-1
"290",1.44939724066839,3.90841483402164,-1
"291",-0.344806542817692,3.91491255428538,-1
"292",-0.344224773562524,3.58811220493177,-1
"293",-0.279626278016831,2.94561352467764,-1
"294",-0.541151778857822,3.42297774178853,-1
"295",1.86308623760545,2.92721126495825,-1
"296",-0.145525161239499,3.83819123847629,-1
"297",1.15463661690145,3.08328202501762,-1
"298",0.796409288058264,5.08126305510231,-1
"299",0.513075433435292,3.51166020006199,-1
"300",-0.722169755616233,2.49859333669342,-1
"301",4.27580983815691,-0.0806486875304875,-1
"302",5.02715275333119,0.465519415616698,-1
"303",2.86370645513766,0.155827530778993,-1
"304",2.74461110356423,-0.699207582723162,-1
"305",6.22594749991209,-0.192723964523787,-1
"306",2.50500002968837,-0.0147585550063027,-1
"307",3.78913851734971,-1.19257695021092,-1
"308",4.77524999227177,-1.75207103902986,-1
"309",5.59950420261307,1.55528969386848,-1
"310",3.64085727293163,-1.52951440710812,-1
"311",5.13929742616239,-1.05528736048268,-1
"312",4.03041040416175,1.62826077654565,-1
"313",3.52281267387466,-0.742849482864431,-1
"315",4.9202492995689,-0.0941183343234625,-1
"317",4.00159213737891,0.121745436689541,-1
"318",3.2074798898607,-1.58590871358348,-1
"319",3.59694165986159,-1.56283045303378,-1
"320",4.40013145975297,-0.346492574681786,-1
"321",4.26391445815306,1.41317854704528,-1
"322",3.79320941480147,-0.277493287565036,-1
"323",3.64855883500019,-0.184095557006039,-1
"324",2.84160063493763,1.62189221996272,-1
"325",5.29371675721012,0.4300751840111,-1
"326",4.79157985667776,-0.898237441615625,-1
"327",3.49213436551511,-0.468934893184813,-1
"328",5.33932866119173,-0.124813158380027,-1
"330",4.75026938546112,-0.666212552726684,-1
"331",3.59355488595596,1.10352235245108,-1
"332",3.89713645528749,1.2683377062122,-1
"333",4.43188077655573,-0.560074155156252,-1
"334",3.25497513548295,-0.552410559908576,-1
"335",5.6686697762695,0.460070804823854,-1
"336",4.90155807117772,-0.355864876433988,-1
"337",2.91601416398625,-0.556215958473117,-1
"338",4.03170916015531,0.15854805062527,-1
"339",6.18971662531428,0.406999698891211,-1
"340",2.98391398221456,1.12742381548997,-1
"342",3.9290134875355,-0.618209025266474,-1
"343",4.55205639749688,-0.591162466606718,-1
"344",2.69703771291575,1.35425932323869,-1
"346",5.16778901837364,-0.647175637474295,-1
"347",4.0153500622365,-0.605143389240289,-1
"348",3.86859056331452,-0.241601643577506,-1
"349",3.14070713880139,0.345898299165702,-1
"350",6.07481308382659,-0.595773408745025,-1
"351",3.97389521631665,0.919518562355143,-1
"352",4.19062445700774,-0.414337470917477,-1
"353",4.31810335207698,-0.723804173027797,-1
"354",3.36981100180856,-0.675991962951345,-1
"355",3.36143129498534,-1.51334078329214,-1
"356",4.91286871292662,0.686973169608818,-1
"357",4.31900986051023,-0.249988634596036,-1
"358",4.68012479933727,0.129469326657137,-1
"359",1.99950470158004,-0.204098097909642,-1
"360",2.59186157623134,-0.769535880628301,-1
"361",6.04485967182473,-2.56102990943809,-1
"362",4.1243535281158,0.870118402856161,-1
"363",3.027830498165,0.0499767844019064,-1
"364",6.75029879633823,-0.0762682555813437,-1
"366",4.56058166135805,0.150575851133052,-1
"367",2.41656665385049,0.60194936503305,-1
"368",3.44416905609351,0.895016059153503,-1
"369",5.31291043853465,-0.563558799659361,-1
"371",4.93409532438073,-0.475399559749249,-1
"372",2.830567936588,-0.745599539267658,-1
"373",5.12609488442199,-0.444551387555066,-1
"374",3.90585406424512,-0.57673674538348,-1
"375",6.45688206986816,-0.527645689048952,-1
"376",2.91726918943219,-1.53984944722474,-1
"378",4.329480276324,-1.8771650944678,-1
"379",1.90180250390999,0.303443140060234,-1
"380",4.59729190288488,1.08665434901905,-1
"381",4.96848823757894,-1.09263366482614,-1
"382",3.58468631240032,2.04375012091915,-1
"383",3.46406486002988,0.618937676254737,-1
"384",2.07618957766597,0.396472350281319,-1
"385",4.05938248270795,-0.736980296267498,-1
"386",4.16737266145267,-0.04042381784316,-1
"387",2.52787358302714,-0.32117189879713,-1
"389",2.90549702580529,-0.379895511378171,-1
"390",3.44050668836709,1.0414177005408,-1
"391",3.57519210127584,-1.08174052959288,-1
"392",4.00067990082744,0.0450417285537413,-1
"394",2.72663868800747,0.63084201818861,-1
"395",3.23557481125398,0.638897685246164,-1
"396",5.24660511598521,-1.80141669198328,-1
"397",3.86902739520952,-0.273811829729234,-1
"398",6.43281693637247,-1.08002320893515,-1
"399",3.27586477827932,0.016045383701692,-1
